BODC reference,Oceanographic data type,Instrument,Platform,Latitude A,Latitude B,Longitude A,Longitude B,Positional definition,Start date,End date,Series duration (days),Sea floor depth (m),Series depth minimum (m),Series depth maximum (m),Project,Country,Organisation,Quality control (QC),Series availability,Warnings,Licence 
862043,Surface temp/sal,Moored CTD,moored surface buoy,53.53393,-99,-3.3621,-999,Fixed point,29/08/2007,03/10/2007,35,26,1,1,Coastal Observatory;Oceans 2025;Oceans 2025 Theme 10;Oceans 2025 Theme 10 SO11,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
862135,Surface temp/sal,Moored CTD,moored surface buoy,53.4503,-99,-3.63867,-999,Fixed point,27/07/2007,30/08/2007,34,23.4,1,1,Coastal Observatory;Oceans 2025;Oceans 2025 Theme 10;Oceans 2025 Theme 10 SO11,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
861992,Surface temp/sal,Moored CTD,moored surface buoy,53.5349,-99,-3.36098,-999,Fixed point,16/04/2007,15/05/2007,29,24.3,1,1,Coastal Observatory;Oceans 2025;Oceans 2025 Theme 10;Oceans 2025 Theme 10 SO11,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
1104386,Surface temp/sal,Water temperature and/or salinity monitor,coastal structure,54.08522,-99,-4.76805,-999,Fixed point,01/01/2010,31/12/2010,364,2.9,0,0,IoM Long-term Environmental Time Series,Isle Of Man,The Isle of Man Government Laboratory,null,Academic,N,BODC Data Licence Agreement
700345,Surface temp/sal,Moored CTD,moored surface buoy,53.5359,-99,-3.3641,-999,Fixed point,08/03/2006,09/05/2006,62,21.1,1,1,Coastal Observatory,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,BODC Data Licence Agreement
746982,Surface temp/sal,Moored CTD,moored surface buoy,53.4489,-99,-3.6482,-999,Fixed point,15/12/2006,25/01/2007,41,24.8,1,1,Coastal Observatory,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
861980,Surface temp/sal,Moored CTD,moored surface buoy,53.5331,-99,-3.36265,-999,Fixed point,14/02/2007,16/04/2007,61,22.6,1,1,Coastal Observatory;Oceans 2025;Oceans 2025 Theme 10;Oceans 2025 Theme 10 SO11,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
862031,Surface temp/sal,Moored CTD,moored surface buoy,53.53502,-99,-3.35907,-999,Fixed point,26/07/2007,29/08/2007,34,22.4,1,1,Coastal Observatory;Oceans 2025;Oceans 2025 Theme 10;Oceans 2025 Theme 10 SO11,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
1024558,Surface temp/sal,Moored CTD,moored surface buoy,53.4502,-99,-3.6463,-999,Fixed point,11/12/2008,05/02/2009,56,24,1,1,Oceans 2025 Theme 10 SO11,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
747021,Surface temp/sal,Moored CTD,moored surface buoy,53.5332,-99,-3.3633,-999,Fixed point,15/08/2006,21/09/2006,37,25.5,1,1,Coastal Observatory,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
1112430,Surface temp/sal,Moored CTD,moored surface buoy,49.94,-99,-7.817,-999,Fixed point,05/07/2008,23/07/2008,19,122,1,1,Oceans 2025;Oceans 2025 Theme 3;Oceans 2025 Theme 3 WP3.2,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,Open Data supplied by NERC
700357,Surface temp/sal,Moored CTD,moored surface buoy,53.5345,-99,-3.3505,-999,Fixed point,09/05/2006,23/06/2006,45,23.5,1,1,Coastal Observatory,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
746994,Surface temp/sal,Moored CTD,moored surface buoy,53.4504,-99,-3.6372,-999,Fixed point,13/03/2007,19/04/2007,37,29.4,1,1,Coastal Observatory,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
null,null,null,null,null,null,null,null,null,null,null,0,null,null,null,null,null,null,null,null,null,BODC Data Licence Agreement
746957,Surface temp/sal,Moored CTD,moored surface buoy,53.4508,-99,-3.6409,-999,Fixed point,16/08/2006,22/09/2006,37,23.6,1,1,Coastal Observatory,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
862111,Surface temp/sal,Moored CTD,moored surface buoy,53.45098,-99,-3.63938,-999,Fixed point,17/05/2007,21/06/2007,35,27.1,1,1,Coastal Observatory;Oceans 2025;Oceans 2025 Theme 10;Oceans 2025 Theme 10 SO11,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
862067,Surface temp/sal,Moored CTD,moored surface buoy,53.53415,-99,-3.35878,-999,Fixed point,21/11/2007,11/01/2008,51,21.4,1,1,Coastal Observatory;Oceans 2025;Oceans 2025 Theme 10;Oceans 2025 Theme 10 SO11,United Kingdom,Centre for Environment  Fisheries and Aquaculture Science Lowestoft Laboratory,null,Public,N,Open Data supplied by NERC
1112442,Surface temp/sal,Moored CTD,moored surface buoy,49.854,-99,-7.949,-999,Fixed point,05/07/2008,14/07/2008,9,78,1,1,Oceans 2025;Oceans 2025 Theme 3;Oceans 2025 Theme 3 WP3.2,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,Open Data supplied by NERC
