BODC reference,Oceanographic data type,Instrument,Platform,Latitude A,Latitude B,Longitude A,Longitude B,Positional definition,Start date,End date,Series duration (days),Sea floor depth (m),Series depth minimum (m),Series depth maximum (m),Project,Country,Organisation,Quality control (QC),Series availability,Warnings,Licence ///20
1085172,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,15/07/2002,-99,-99,55,55,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
738423,CTD or STD cast,CTD/STD cast,research vessel,49.895,-99,-7.8845,-999,Fixed point,31/07/2005,-99,-99,101,96.21,2.18,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1108074,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.468,-99,-6.42533,-999,Fixed point,10/08/2003,10/08/2003,0,100,87.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1085565,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,28/05/2003,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107507,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.64683,-99,-6.82517,-999,Fixed point,03/08/2003,03/08/2003,0,74.8,61.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
738435,CTD or STD cast,CTD/STD cast,research vessel,49.89617,-99,-7.8825,-999,Fixed point,31/07/2005,-99,-99,103,96.42,2.37,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
737813,CTD or STD cast,CTD/STD cast,research vessel,49.89933,-99,-7.881,-999,Fixed point,27/07/2005,-99,-99,101,91.03,2.41,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1086292,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,08/08/2005,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1085160,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,09/07/2002,-99,-99,55,48,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1108062,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.46817,-99,-6.42567,-999,Fixed point,10/08/2003,10/08/2003,0,99.2,88.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1085577,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,02/06/2003,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1085159,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,01/07/2002,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
738447,CTD or STD cast,CTD/STD cast,research vessel,49.89733,-99,-7.88017,-999,Fixed point,31/07/2005,-99,-99,107,99.31,2.06,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1088004,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.24821,-99,-4.21287,-999,Fixed point,03/10/2011,03/10/2011,0,55,55.25,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
737837,CTD or STD cast,CTD/STD cast,research vessel,49.89517,-99,-7.884,-999,Fixed point,27/07/2005,-99,-99,101,97.55,2.88,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1085541,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,13/05/2003,-99,-99,55,49,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,Y,BODC Data Licence Agreement
1108050,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.46817,-99,-6.42567,-999,Fixed point,10/08/2003,10/08/2003,0,99.2,86.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1086280,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,01/08/2005,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1086279,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,25/07/2005,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
738459,CTD or STD cast,CTD/STD cast,research vessel,49.89367,-99,-7.882,-999,Fixed point,31/07/2005,-99,-99,105,95.68,2.71,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1085147,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,24/06/2002,-99,-99,55,53,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1085553,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,19/05/2003,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
737825,CTD or STD cast,CTD/STD cast,research vessel,49.897,-99,-7.87917,-999,Fixed point,27/07/2005,-99,-99,104,102.14,2.77,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1108049,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.46817,-99,-6.42567,-999,Fixed point,10/08/2003,10/08/2003,0,99.2,84.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1107427,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.81817,-99,-6.4735,-999,Fixed point,03/08/2003,03/08/2003,0,67.2,51.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
738460,CTD or STD cast,CTD/STD cast,research vessel,49.89217,-99,-7.8805,-999,Fixed point,01/08/2005,-99,-99,107,89.11,66.88,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1084918,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.033,-99,-4.367,-999,Fixed point,08/02/2006,-99,-99,75,50.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1085135,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,18/06/2002,-99,-99,55,53,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107949,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.46817,-99,-6.426,-999,Fixed point,10/08/2003,10/08/2003,0,99.6,88.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1085528,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,12/05/2003,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1108037,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.46817,-99,-6.42567,-999,Fixed point,10/08/2003,10/08/2003,0,99.2,84.75,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1107532,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,52.11267,-99,-5.867,-999,Fixed point,04/08/2003,04/08/2003,0,95.2,82.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1088028,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.24636,-99,-4.21929,-999,Fixed point,17/10/2011,17/10/2011,0,55,51.25,4.5,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
