site,year,month,day,hour,minute,second
b0558213,2000,03,12,13,44,00
b0558225,2000,03,12,17,21,00
b0558237,2000,03,13,06,36,00
b0558249,2000,03,13,10,50,00
b0563412,2000,11,22,19,39,00
b0563424,2000,11,23,06,36,00
b0563436,2000,11,23,09,02,00
b0563448,2000,11,23,16,31,00
b0563461,2000,11,23,18,29,00
b0563473,2000,11,23,20,33,00
b0563485,2000,11,24,06,38,00
b0563497,2000,11,24,08,31,00
b0563504,2000,11,24,12,39,00
b0563516,2000,11,24,16,43,00
b0563528,2000,11,24,19,01,00
b0563541,2000,11,26,16,17,00
b0563553,2000,11,26,19,09,00
b0563565,2000,11,26,22,47,00
b0563577,2000,11,27,07,04,00
b0563589,2000,11,27,09,58,00
b0563590,2000,11,27,12,21,00
b0572009,2001,03,05,06,39,00
b0572010,2001,03,05,09,32,00
b0572022,2001,03,05,16,23,00
b0572034,2001,03,05,18,00,00
b0572046,2001,03,05,19,56,00
b0572058,2001,03,06,06,32,00
b0572071,2001,03,06,08,51,00
b0572083,2001,03,06,11,44,00
b0572095,2001,03,06,14,03,00
b0572102,2001,03,06,17,35,00
b0572114,2001,03,08,12,14,00
b0572126,2001,03,08,15,44,00
b0572138,2001,03,08,17,59,00
b0572151,2001,03,08,20,40,00
b0572163,2001,03,09,06,37,00
b0572175,2001,03,09,09,39,00
b0572187,2001,03,09,12,14,00
b0572199,2001,03,09,14,55,00
b0572231,2001,03,10,13,05,00
b0572243,2001,03,10,15,56,00
b0575382,2001,11,03,12,10,00
b0575401,2001,11,03,20,02,00
b0575413,2001,11,04,04,30,00
b0575425,2001,11,04,10,11,00
b0575437,2001,11,04,14,23,00
b0575449,2001,11,04,16,27,00
b0575450,2001,11,04,18,32,00
b0575462,2001,11,04,21,29,00
b0575474,2001,11,05,02,54,00
b0575486,2001,11,05,11,13,00
b0575498,2001,11,05,14,13,00
b0575505,2001,11,05,17,47,00
b0575517,2001,11,05,19,39,00
b0575529,2001,11,07,22,17,00
b0575530,2001,11,08,04,45,00
b0575542,2001,11,09,06,35,00
b0575554,2001,11,09,10,08,00
