"BODC reference","Oceanographic data type",Instrument,Platform,"Latitude A","Latitude B","Longitude A","Longitude B","Positional definition","Start date","Start time","End date","End time","Series duration (days)","Sea floor depth (m)","Series depth minimum (m)","Series depth maximum (m)",Project,Country,Organisation,"Quality control (QC)","Series availability",Warnings,Licence
720149,"CTD or STD cast","CTD/STD cast","research vessel",55.95433,-99,-6.63117,-999,"Fixed point",2005/03/18,18:31:00,2005/03/18,18:31:00,-99,53,44.59,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925525,"CTD or STD cast","CTD/STD cast","research vessel",56.19267,-99,-5.82567,-999,"Fixed point",2008/10/10,13:16:00,2008/10/10,13:16:00,-99,212,208.97,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900114,"CTD or STD cast","CTD/STD cast","research vessel",55.883,-99,-6.73633,-999,"Fixed point",2007/03/25,06:06:00,2007/03/25,06:06:00,-99,63,54.49,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713663,"CTD or STD cast","CTD/STD cast","research vessel",53.5725,-99,-5.73983,-999,"Fixed point",2005/11/24,18:12:00,2005/11/24,18:12:00,-99,76,68.38,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616703,"CTD or STD cast","CTD/STD cast","research vessel",53.7483,-99,-5.588,-999,"Fixed point",2002/03/08,17:23:00,2002/03/08,17:23:00,-99,100,97.1,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
723589,"CTD or STD cast","CTD/STD cast","research vessel",56.25233,-99,-5.94033,-999,"Fixed point",2006/07/15,09:36:00,2006/07/15,09:36:00,-99,78,70.34,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
720150,"CTD or STD cast","CTD/STD cast","research vessel",55.46283,-99,-4.82,-999,"Fixed point",2005/03/19,05:58:00,2005/03/19,05:58:00,-99,64,58.46,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631576,"CTD or STD cast","CTD/STD cast","research vessel",55.9957,-99,-7.2218,-999,"Fixed point",2003/11/18,19:07:00,2003/11/18,19:07:00,-99,114,111.94,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
720291,"CTD or STD cast","CTD/STD cast","research vessel",54.27033,-99,-5.00183,-999,"Fixed point",2005/03/21,12:44:00,2005/03/21,12:44:00,-99,118,113.94,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657284,"CTD or STD cast","CTD/STD cast","research vessel",56.18033,-99,-7.38383,-999,"Fixed point",2004/11/28,11:09:00,2004/11/28,11:09:00,-99,106,100.05,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
575486,"CTD or STD cast","CTD/STD cast","research vessel",53.8333,-99,-4.8255,-999,"Fixed point",2001/11/05,11:13:00,2001/11/05,11:13:00,-99,64,62.43,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
900102,"CTD or STD cast","CTD/STD cast","research vessel",55.70917,-99,-5.15783,-999,"Fixed point",2007/03/24,18:47:00,2007/03/24,18:47:00,-99,170,158.49,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713651,"CTD or STD cast","CTD/STD cast","research vessel",53.76383,-99,-5.5665,-999,"Fixed point",2005/11/24,16:06:00,2005/11/24,16:06:00,-99,102,98.09,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925513,"CTD or STD cast","CTD/STD cast","research vessel",56.18783,-99,-5.839,-999,"Fixed point",2008/10/10,12:36:00,2008/10/10,12:36:00,-99,176,154.52,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
558213,"CTD or STD cast","CTD/STD cast","research vessel",53.9835,-99,-5.7738,-999,"Fixed point",2000/03/12,13:44:00,2000/03/12,13:44:00,-99,44,42.61,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1026934,"CTD or STD cast","CTD/STD cast","research vessel",56.21867,-99,-7.19817,-999,"Fixed point",2009/03/25,12:00:00,2009/03/25,12:00:00,-99,89,85.2,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
723577,"CTD or STD cast","CTD/STD cast","research vessel",56.29217,-99,-5.92167,-999,"Fixed point",2006/07/15,08:12:00,2006/07/15,08:12:00,-99,97,89.16,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
621035,"CTD or STD cast","CTD/STD cast","research vessel",55.2268,-99,-5.2167,-999,"Fixed point",2002/11/21,18:15:00,2002/11/21,18:15:00,-99,50,47.56,3.96,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631588,"CTD or STD cast","CTD/STD cast","research vessel",55.4407,-99,-7.481,-999,"Fixed point",2003/11/19,03:33:00,2003/11/19,03:33:00,-99,56,55.49,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
657296,"CTD or STD cast","CTD/STD cast","research vessel",56.36867,-99,-6.82467,-999,"Fixed point",2004/11/28,14:04:00,2004/11/28,14:04:00,-99,75,66.38,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
621207,"CTD or STD cast","CTD/STD cast","research vessel",56.0037,-99,-7.1792,-999,"Fixed point",2002/11/26,16:26:00,2002/11/26,16:26:00,-99,112,104.02,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
729757,"CTD or STD cast","CTD/STD cast","research vessel",56.1835,-99,-7.4045,-999,"Fixed point",2006/03/25,11:03:00,2006/03/25,11:03:00,-99,108,104.02,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
1032398,"CTD or STD cast","CTD/STD cast","research vessel",55.9525,-99,-5.19417,-999,"Fixed point",2009/11/03,12:04:00,2009/11/03,12:04:00,-99,28,19.82,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713687,"CTD or STD cast","CTD/STD cast","research vessel",53.74933,-99,-4.71067,-999,"Fixed point",2005/11/26,20:24:00,2005/11/26,20:24:00,-99,70,68.37,1.98,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
925501,"CTD or STD cast","CTD/STD cast","research vessel",56.1715,-99,-5.82367,-999,"Fixed point",2008/10/10,11:46:00,2008/10/10,11:46:00,-99,211,207.98,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
631564,"CTD or STD cast","CTD/STD cast","research vessel",55.9502,-99,-6.6468,-999,"Fixed point",2003/11/18,16:00:00,2003/11/18,16:00:00,-99,55,52.51,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616715,"CTD or STD cast","CTD/STD cast","research vessel",53.7945,-99,-4.9278,-999,"Fixed point",2002/03/08,21:52:00,2002/03/08,21:52:00,-99,99,96.11,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
720278,"CTD or STD cast","CTD/STD cast","research vessel",53.8185,-99,-4.84617,-999,"Fixed point",2005/03/21,09:02:00,2005/03/21,09:02:00,-99,63,60.45,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
558225,"CTD or STD cast","CTD/STD cast","research vessel",54.2538,-99,-4.9728,-999,"Fixed point",2000/03/12,17:21:00,2000/03/12,17:21:00,-99,99,96.11,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713779,"CTD or STD cast","CTD/STD cast","research vessel",55.411,-99,-6.7495,-999,"Fixed point",2005/11/28,15:08:00,2005/11/28,15:08:00,-99,79,72.33,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
720174,"CTD or STD cast","CTD/STD cast","research vessel",54.725,-99,-5.6985,-999,"Fixed point",2005/03/19,14:13:00,2005/03/19,14:13:00,-99,16,13.87,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
658933,"CTD or STD cast","CTD/STD cast","research vessel",54.364,-99,-4.93683,-999,"Fixed point",2004/03/14,12:46:00,2004/03/14,12:46:00,-99,98,93.14,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
659137,"CTD or STD cast","CTD/STD cast","research vessel",55.95217,-99,-6.61317,-999,"Fixed point",2004/03/20,11:24:00,2004/03/20,11:24:00,-99,49,45.58,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
713675,"CTD or STD cast","CTD/STD cast","research vessel",53.78217,-99,-4.955,-999,"Fixed point",2005/11/26,16:37:00,2005/11/26,16:37:00,-99,91,80.26,0.99,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
558237,"CTD or STD cast","CTD/STD cast","research vessel",55.4493,-99,-7.4645,-999,"Fixed point",2000/03/13,06:36:00,2000/03/13,06:36:00,-99,48,46.57,1.98,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
616807,"CTD or STD cast","CTD/STD cast","research vessel",55.4453,-99,-7.4873,-999,"Fixed point",2002/03/12,06:25:00,2002/03/12,06:25:00,-99,59,56.48,0.99,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
720162,"CTD or STD cast","CTD/STD cast","research vessel",55.30183,-99,-5.18333,-999,"Fixed point",2005/03/19,08:19:00,2005/03/19,08:19:00,-99,52,44.59,2.97,-99,"United Kingdom","Fisheries Research Services Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
896389,"CTD or STD cast","CTD/STD cast","lowered unmanned submersible",55.36683,-99,-6.70683,-999,"Fixed point",2005/10/07,09:56:00,2005/10/07,10:23:00,0,73.5,71.34,5.95,"Northern Seas Programme (NSP)","United Kingdom","Dunstaffnage Marine Laboratory",null,Public,Y,"BODC Data Licence Agreement"
723590,"CTD or STD cast","CTD/STD cast","research vessel",56.17683,-99,-6.091,-999,"Fixed point",2006/07/15,11:59:00,2006/07/15,11:59:00,-99,81,72.32,2.97,-99,"United Kingdom","Department of Agriculture and Fisheries for Scotland Aberdeen Marine Laboratory",null,Public,N,"BODC Data Licence Agreement"
