"BODC reference","Oceanographic data type",Instrument,Platform,"Latitude A","Latitude B","Longitude A","Longitude B","Positional definition","Start date","Start time","End date","End time","Series duration (days)","Sea floor depth (m)","Series depth minimum (m)","Series depth maximum (m)",Project,Country,Organisation,"Quality control (QC)","Series availability",Warnings,Licence
978962,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1958/01/15,00:00:00,1960/02/08,00:00:00,754,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
978974,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1960/02/22,00:00:00,1961/10/27,00:00:00,613,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
978986,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1961/11/06,00:00:00,1965/12/01,00:00:00,1486,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
978998,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1966/01/12,00:00:00,1971/11/30,00:00:00,2148,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
979001,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1972/01/18,00:00:00,1989/12/08,00:00:00,6534,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
979013,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1990/02/16,00:00:00,1991/12/09,00:00:00,661,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
979025,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1954/02/02,00:00:00,1957/12/16,00:00:00,1413,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
1002772,"Water column chemistry","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1992/01/21,14:00:00,1994/06/30,11:31:00,891,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
1002784,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1994/07/08,14:14:00,1995/11/29,13:50:00,509,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
1002796,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1996/01/15,14:00:00,1998/06/17,14:30:00,884,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
1002803,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1998/07/02,15:00:00,2001/10/23,10:00:00,1209,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
1002815,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",2001/11/16,10:30:00,2005/12/08,14:15:00,1483,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A
