"BODC reference","Oceanographic data type",Instrument,Platform,"Latitude A","Latitude B","Longitude A","Longitude B","Positional definition","Start date","End date","Series duration","Sea floor depth","Series depth minimum","Series depth maximum",Project,Cruise,"Fixed station",Country,Organisation,"Quality control (QC)","Series availability",Warnings,Documentation
978962,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1958/01/15,1960/02/08,754,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/978962/
978974,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1960/02/22,1961/10/27,613,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/978974/
978986,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1961/11/06,1965/12/01,1486,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/978986/
978998,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1966/01/12,1971/11/30,2148,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/978998/
979001,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1972/01/18,1989/12/08,6534,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/979001/
979013,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1990/02/16,1991/12/09,661,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/979013/
979025,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1954/02/02,1957/12/16,1413,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/979025/
1002772,"Water column chemistry","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1992/01/21,1994/06/30,891,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/1002772/
1002784,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1994/07/08,1995/11/29,509,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/1002784/
1002796,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1996/01/15,1998/06/17,884,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/1002796/
1002803,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",1998/07/02,2001/10/23,1209,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/1002803/
1002815,"Hydrography time series at depth","Bottle station","vessel at fixed position",54.09167,-99,-4.83333,-999,"Fixed point",2001/11/16,2005/12/08,1483,37,0,37,"IoM Long-term Environmental Time Series",unknown,CYPRIS,unknown,"University of Liverpool Port Erin Marine Laboratory",Y,A,N,http://www.bodc.ac.uk/data/documents/series/1002815/
