Filename	OriginatorsIdentifier	latDD	lonDD	Site	StartDate	StartTime	EndDate	EndTime											
cmd\b0003593.lst	S303B/AM5	61.3333	0	NS303	10/03/73	18:15:00	06/04/73	07:05:00											
cmd\b0003600.lst	S303M/AM6	61.3333	0	NS303	10/03/73	17:50:00	06/04/73	07:15:00											
cmd\b0003612.lst	S304T/AM7	61.3333	0	S304T/AM7	12/04/73	17:25:00	04/05/73	00:05:00											
cmd\b0003624.lst	S305M/AM8	61.3333	0	NS305	09/05/73	13:50:00	04/06/73	08:20:00											
cmd\b0003636.lst	S305B/AM9	61.3333	0	NS305	09/05/73	15:20:00	04/06/73	09:20:00											
cmd\b0003648.lst	S306B/AM12	61.3333	0	NS306	07/06/73	10:55:00	04/07/73	12:55:00											
cmd\b0003661.lst	S306M/AM13	61.3333	0	NS306	07/06/73	11:45:00	04/07/73	09:15:00											
cmd\b0003673.lst	S308B/AM14	61.3333	0	NS308	13/08/73	10:32:00	08/09/73	12:57:00											
cmd\b0003685.lst	S308T/AM15	61.3333	0	NS308	13/08/73	13:20:00	08/09/73	03:05:00											
cmd\b0003697.lst	S308M/AM17	61.3333	0	NS308	13/08/73	10:32:00	08/09/73	08:27:00											
cmd\b0003704.lst	S307M/AM18	61.3333	0	NS307	11/07/73	13:52:00	07/08/73	13:47:00											
cmd\b0003716.lst	S307T/AM19	61.3333	0	NS307	11/07/73	14:55:00	07/08/73	09:20:00											
cmd\b0003728.lst	S309T/AM21	61.3333	0	S309T/AM21	12/09/73	17:12:00	08/10/73	09:07:00											
cmd\b0003741.lst	S310U/AM24	61.3333	0	NS310	13/10/73	11:40:00	07/11/73	11:45:00											
cmd\b0003753.lst	S310L/AM25	61.3333	0	NS310	13/10/73	11:55:00	06/11/73	03:50:00											
cmd\b0003765.lst	S311U/AM27	61.3333	0	NS311	14/11/73	15:00:00	04/12/73	11:00:00											
cmd\b0003777.lst	S312T/AM28	61.3333	0	NS312	19/12/73	13:59:00	08/01/74	05:54:00											
cmd\b0003789.lst	S312B/AM29	61.3333	0	NS312	19/12/73	14:09:00	13/01/74	12:44:00											
cmd\b0003790.lst	S312L/AM30	61.3333	0	NS312	19/12/73	15:43:00	13/01/74	16:43:00											
cmd\b0003808.lst	S312U/AM31	61.3333	0	NS312	19/12/73	15:48:00	13/01/74	20:18:00											
cmd\b0003821.lst	S401T/AM32	61.3333	0	NS401	22/01/74	11:00:00	10/02/74	10:40:00											
cmd\b0003833.lst	S401B/AM33	61.3333	0	NS401	22/01/74	11:45:00	10/02/74	11:10:00											
cmd\b0003845.lst	S403T/AM37	61.3333	0	NS403	13/03/74	18:05:00	04/04/74	15:30:00											
cmd\b0003857.lst	S403B/AM38	61.3333	0	NS403	13/03/74	14:05:00	04/04/74	14:00:00											
cmd\b0003869.lst	S403U/AM39	61.3333	0	NS403	14/03/74	11:10:00	04/04/74	15:50:00											
cmd\b0003870.lst	S403L/AM40	61.3333	0	NS403	14/03/74	11:20:00	30/03/74	17:15:00											
cmd\b0003882.lst	S404U/AM41	61.3333	0	NS404	12/04/74	11:13:00	02/05/74	08:23:00											
cmd\b0003894.lst	S404T/AM42	61.3333	0	NS404	12/04/74	10:13:00	26/04/74	09:18:00											
cmd\b0003901.lst	S404B/AM43	61.3333	0	NS404	12/04/74	15:45:00	02/05/74	15:40:00											
cmd\b0003913.lst	S406T/AM44	61.3333	0	NS406	12/06/74	17:50:00	24/06/74	17:40:00											
cmd\b0003925.lst	S406L/AM47	61.3333	0	NS406	12/06/74	18:35:00	08/07/74	04:30:00											
cmd\b0003937.lst	S405B/AM48	61.3333	0	S405B/AM48	18/05/74	16:15:00	07/06/74	09:40:00											
cmd\b0003949.lst	S407L/AM50	61.3333	0	NS407	12/07/74	19:30:00	25/07/74	18:25:00											
cmd\b0003950.lst	S407U/AM51	61.3333	0	NS407	13/07/74	02:08:00	25/07/74	19:33:00											
cmd\b0003962.lst	S407T/AM53	61.3333	0	NS407	12/07/74	20:03:00	19/08/74	11:58:00											
cmd\b0003974.lst	S408T/AM55	61.3333	0	NS408	11/08/74	13:43:00	05/09/74	16:08:00											
cmd\b0003986.lst	S409U/AM56	61.3333	0	NS409	14/09/74	16:13:00	04/10/74	18:08:00											
cmd\b0003998.lst	S409B/AM58	61.3333	0	NS409	14/09/74	14:00:00	04/10/74	16:55:00											
