site,latDD,lonDD
b0003593,61.3333,0
b0003600,61.3333,0
b0003612,61.3333,0
b0003624,61.3333,0
b0003636,61.3333,0
b0003648,61.3333,0
b0003661,61.3333,0
b0003673,61.3333,0
b0003685,61.3333,0
b0003697,61.3333,0
b0003704,61.3333,0
b0003716,61.3333,0
b0003728,61.3333,0
b0003741,61.3333,0
b0003753,61.3333,0
b0003765,61.3333,0
b0003777,61.3333,0
b0003789,61.3333,0
b0003790,61.3333,0
b0003808,61.3333,0
b0003821,61.3333,0
b0003833,61.3333,0
b0003845,61.3333,0
b0003857,61.3333,0
b0003869,61.3333,0
b0003870,61.3333,0
b0003882,61.3333,0
b0003894,61.3333,0
b0003901,61.3333,0
b0003913,61.3333,0
b0003925,61.3333,0
b0003937,61.3333,0
b0003949,61.3333,0
b0003950,61.3333,0
b0003962,61.3333,0
b0003974,61.3333,0
b0003986,61.3333,0
b0003998,61.3333,0
b0004001,61.3333,0
b0004013,61.3333,0
b0004025,61.3333,0
b0004037,61.3333,0
b0004049,61.3333,0
b0004050,61.3333,0
b0004062,61.3333,0
b0004074,61.3333,0
b0004086,61.3333,0
b0004098,61.3333,0
b0004105,61.3333,0
b0004117,61.3333,0
b0004129,61.3333,0
b0004130,61.3333,0
b0004142,61.3333,0
b0004154,61.3333,0
b0004166,61.3333,0
b0004178,61.3333,0
b0004191,61.3333,0
b0004209,61.3333,0
b0004210,61.3333,0
b0004222,61.3333,0
b0004234,61.3333,0
b0004246,61.3333,0
b0004258,61.3333,0
b0004271,61.3333,0
b0004283,61.3333,0
b0004295,61.3333,0
b0004302,61.3333,0
b0004314,61.3333,0
b0004326,61.3333,0
b0004338,61.3333,0
b0004351,61.3333,0
b0004363,60,4
b0004375,60,4
b0004387,60,4
b0004399,60,4
b0004406,60,4
b0004418,60,4
b0004431,60,4
b0004443,60,4
b0004455,60,4
b0004467,60,4
b0004479,60,4
b0004480,60,4
b0004492,60,4
b0004511,60,4
b0004523,60,4
b0004535,60,4
b0004547,60,4
b0004559,60,4
b0004560,60,4
b0004572,60,4
b0004584,60,4
b0004596,60,4
b0004603,60,4
b0004615,60,4
b0004627,60,4
b0004639,60,4
b0004640,60,4
b0004652,60,4
b0004664,60,4
b0004676,60,4
b0004688,60,4
b0004707,60,4
b0004719,60,4
b0004720,60,4
b0004732,60,4
b0004744,60,4
b0004756,60,4
b0004768,60,4
b0004781,60,4
b0004793,60,4
b0004800,60,4
b0004812,60,4
b0004824,60,4
b0004836,60,4
b0004848,60,4
b0004861,50.6667,7.5
b0004873,50.6667,7.5
b0004885,50.6667,7.5
b0004897,50.6667,7.5
b0004904,50.6667,7.5
b0004916,50.6667,7.5
b0004928,50.6667,7.5
b0004941,50.6667,7.5
b0004953,50.6667,7.5
b0004965,50.6667,7.5
b0004977,50.6667,7.5
b0004989,50.6667,7.5
b0004990,50.6667,7.5
b0005004,50.6667,7.5
b0005016,50.6667,7.5
b0005028,50.6667,7.5
b0005041,50.6667,7.5
b0005053,50.6667,7.5
b0005065,50.6667,7.5
b0005077,50.6667,7.5
b0005089,50.6667,7.5
b0005090,50.6667,7.5
b0005108,50.6667,7.5
b0005121,50.6667,7.5
b0005133,50.6667,7.5
b0005145,50.6667,7.5
b0005157,50.6667,7.5
b0005169,50.6667,7.5
b0005170,50.6667,7.5
b0005182,50.6667,7.5
b0005194,50.6667,7.5
b0005201,50.6667,7.5
b0005213,50.6667,7.5
b0005225,54.2283,-0.0283333
b0005225,54.2283,0.0283333
b0005237,54.2283,-0.0283333
b0005237,54.2283,0.0283333
b0005249,54.3833,-1.10833
b0005249,54.3833,1.10833
b0005250,54.3833,-1.10833
b0005250,54.3833,1.10833
b0005262,55,4
b0005274,54.2283,-0.0283333
b0005274,54.2283,0.0283333
b0005286,54.2283,-0.0283333
b0005286,54.2283,0.0283333
b0005298,54.2283,-0.0283333
b0005298,54.2283,0.0283333
b0005305,54.3833,-1.10833
b0005305,54.3833,1.10833
b0005317,54.3833,-1.10833
b0005317,54.3833,1.10833
b0005329,55,4
b0005330,55,4
b0005342,54.2283,-0.0283333
b0005342,54.2283,0.0283333
b0005354,54.2283,-0.0283333
b0005354,54.2283,0.0283333
b0005366,54.3833,-1.10833
b0005366,54.3833,1.10833
b0005378,54.2283,-0.0283333
b0005378,54.2283,0.0283333
