latDD,lonDD,name
56.062,-7.05683,"Blackstones WaveNet Site"
53.057,1.10033,"Blakeney Overfalls Waverider"
53.2452,0.446,"Chapel Point Waverider"
53.531,1.0535,"Dowsing WaveNet Site"
51.9382,1.39383,"Felixstowe Waverider"
56.188,-2.50383,"Firth of Forth WaveNet Site"
52.8263,1.5495,"Happisburgh Waverider"
50.7468,0.754167,"Hastings WaveNet Site"
51.2333,-3.15883,"Hinkley Point Waverider"
53.5183,-3.353,"Liverpool Bay WaveNet Site"
57.9665,-3.31833,"Moray Firth WaveNet Site"
53.0582,0.4755,"North Well Waverider"
50.6335,-1.71883,"Poole Bay WaveNet Site"
51.4183,-3.91833,"Scarweather WaveNet Site"
52.208,1.68433,"Sizewell Waverider"
51.57,1.57917,"South Knock WaveNet Site"
52.3118,1.783,"Southwold Approach WaveNet Site"
54.919,-0.749333,"TyneTees WaveNet Site"
51.9803,2.08017,"West Gabbard WaveNet Site"
57.2923,-7.91533,"West of Hebrides WaveNet Site"
