Oykel_Easter-Turnaig,NC4030500145
Conon_Moy-Bridge,NH4812954675
Meig_Glenmeannie,NH2864952780
Bran_Dosmucheran,NH2046360186
Ness_Ness-side,NH6450742726
Enrick_Mill-of-Tore,NH4504429976
Findhorn_Forres,NJ0185358387
Lossie_Sheriffmills,NJ1940262632
Lossie_Torwinny,NJ1344248903
Avon_Delnashaugh,NJ1850035182
Spey_Boat-o-Brig,NJ3185051788
Dulnain_Balnaan-Bridge,NH9772224763
Deveron_Muiresk,NJ7055149833
Allt_Deveron_Cabrach,NJ3783929102
Ugie_Inverugie,NK1011348516
Don_Parkhill,NJ88771419
Dee_Woodend,NO6348295613
Dee_Park,NO7973998317
Dee_Polhollick,NO3439596531
Gairn_Invergairn,NO3523197050
Dee_Mar-Lodge,NO0978889522
Feugh_Heugh-Head,NO6870392800
Bervie_Inverbervie,NO8264873370
Prosen_Water_Prosen-Bridge,NO3957458549
Lunan_Water_Kirkton-Mill,NO6546649433
North_Esk_Logie-Mill,NO6994064029
South_Esk_Brechin,NO5996259665
Eden_Kemback,NO4145215796
Motray_Water_St-Michaels,NO4403322381
Tay_Ballathie,NO14753668
Dean_Water_Cookston,NO3404847954
Lyon_Comrie-Bridge,NN7852948684
Almond_Almondbank,NO0671525811
Ardle_Kindrogan,NO0561963026
Braan_Hermitage,NO0132042158
Dochart_Killin,NN5640131995
Ericht_Craighall,NO1740547165
Ruchill_Water_Cultybraggan,NN7644120399
Earn_Forteviot-Bridge,NO0440118327
Carron_Headswood,NS8318081818
Avon_Polmonthill,NS9519479657
Allan_Water_Kinbuck,NN7922505376
Teith_Bridge-of-Teith,NN7251901136
Almond_Craigiehall,NT1653875267
Gifford_Water_Lennoxlove,NT5110871699
Tweed_Boleside,NT4982333376
Tweed_Norham,NT8983647709
Teviot_Hawick,NT5223215869
Lyne_Water_Lyne-Station,NT2094940033
Whiteadder_Water_Hutton-Castle,NT8807755014
Leet_Water_Coldstream,NT8398039652
Jed_Water_Jedburgh,NT6558921368
Tima_Water_Deephope,NT27821371
Coquet_Morwick,NU2344304453
Blyth_Hartford-Bridge,NZ2429380003
Wansbeck_Mitford,NZ1745885790
Tyne_Bywell,NZ0385861700
South_Tyne_Haydon-Bridge,NY8565664671
South_Tyne_Featherstone,NY6721661064
Rede_Rede-Bridge,NY8683783213
Kielder_Burn_Kielder,NY6444294681
Ouse_Burn_Crag-Hall,NZ2540967548
Wear_Sunderland-Bridge,NZ2652037734
Bedburn_Beck_Bedburn,NZ1179932192
Browney_Burn-Hall,NZ2590438688
