No.,River,Location,"Area (km 2 )","Data period",Download
3003,Oykel,"Easter Turnaig",330.7,1977-2011,Y
4001,Conon,"Moy Bridge",961.8,1947-2011,Y
4005,Meig,Glenmeannie,120.5,1986-2011,Y
4006,Bran,Dosmucheran,116.1,1989-2011,Y
6007,Ness,Ness-side,1839.1,1972-2011,Y
6008,Enrick,"Mill of Tore",105.9,1979-2011,Y
7002,Findhorn,Forres,781.9,1958-2011,Y
7003,Lossie,Sheriffmills,216,1963-2011,Y
7006,Lossie,Torwinny,20,1987-2011,Y
8004,Avon,Delnashaugh,542.8,1952-2011,Y
8006,Spey,"Boat o Brig",2861.2,1952-2011,Y
8009,Dulnain,"Balnaan Bridge",272.2,1952-2011,Y
9002,Deveron,Muiresk,954.9,1960-2011,Y
9005,"Allt Deveron",Cabrach,67,1948-2011,Y
10002,Ugie,Inverugie,325,1971-2011,Y
11001,Don,Parkhill,1273,1969-2011,Y
12001,Dee,Woodend,1370,1929-2011,Y
12002,Dee,Park,1844,1972-2011,Y
12003,Dee,Polhollick,690,1975-2011,Y
12006,Gairn,Invergairn,150,1978-2011,Y
12007,Dee,"Mar Lodge",289,1982-2011,Y
12008,Feugh,"Heugh Head",229,1985-2011,Y
13001,Bervie,Inverbervie,123,1979-2011,Y
13004,"Prosen Water","Prosen Bridge",104,1985-2011,Y
13005,"Lunan Water","Kirkton Mill",124,1981-2011,Y
13007,"North Esk","Logie Mill",732,1976-2011,Y
13008,"South Esk",Brechin,488,1983-2011,Y
14001,Eden,Kemback,307.4,1967-2011,Y
14005,"Motray Water","St Michaels",60,1984-2011,Y
15006,Tay,Ballathie,4587.1,1952-2011,Y
15008,"Dean Water",Cookston,177.1,1958-2008,Y
15011,Lyon,"Comrie Bridge",391.1,1958-2011,Y
15013,Almond,Almondbank,174.8,1955-2011,Y
15014,Ardle,Kindrogan,103,1985-2011,Y
15023,Braan,Hermitage,210,1983-2011,Y
15024,Dochart,Killin,239,1982-2011,Y
15025,Ericht,Craighall,432,1985-2011,Y
16003,"Ruchill Water",Cultybraggan,99.5,1970-2011,Y
16004,Earn,"Forteviot Bridge",782.2,1972-2011,Y
17001,Carron,Headswood,122.3,1969-2011,Y
17005,Avon,Polmonthill,195.3,1965-2011,Y
18001,"Allan Water",Kinbuck,161,1957-2011,Y
