lon,lat,name
-8.380000,42.080000,FOZ DO MOURO
-8.170000,41.200000,PONTE DE CANAVEZES
-7.680000,41.150000,REGUA
-8.370000,39.470000,ALMOUROL
-7.670000,39.650000,VILA VELHA DE RODAO
-8.400000,38.070000,M.DA GAMITINHA
-7.630000,37.820000,PULO DO LOBO
1.830000,50.100000,ABBEVILLE
2.270000,48.830000,PARIS
-0.830000,47.380000,MONTJEAN
1.330000,47.580000,BLOIS
2.580000,47.680000,GIEN
0.230000,44.420000,MAS-D'AGENAIS
4.670000,43.920000,BEAUCAIRE
4.830000,45.750000,LA MULATIERE
14.090000,49.960000,BEROUN
14.150000,49.299999,PISEK
14.230000,50.790000,DECIN
14.043611,50.656667,USTI NAD LABEM
16.860000,48.800000,BRECLAV-LADNA
17.316668,48.930000,STRAZNICE
16.938600,48.602700,MORAVSKY JAN
17.109600,48.140200,BRATISLAVA
18.200001,48.049999,BANOV (BANOVSKA KESA)
18.820000,48.040000,IPELSKY SOKOLEC
17.883400,48.161700,SALA
18.647800,48.407200,BREHY
21.750200,48.396100,STREDA NAD BODROGOM
21.346300,48.604600,ZDANA
18.330000,49.920000,BOHUMIN
-7.870000,42.350000,ORENSE
-7.710000,42.440000,SAN PEDRO
-5.480000,41.500000,VILLACHICA
-6.190000,41.580000,PUENTE PINO
-5.750000,41.880000,BRETO
-6.890000,39.720000,ALCANTARA
-4.830000,39.960000,TALAVERA
-3.610000,40.090000,ARANJUEZ (P. LARGO)
-6.970000,38.880000,PUENTE DE PALMAS
-5.980000,37.520000,ALCALA DEL RIO
-5.830000,37.590000,CANTILLANA
-6.010000,37.390000,SEVILLA
-4.700000,37.870000,LA PRESA
3.370000,50.620000,KAIN
-1.690000,42.180000,CASTEJON
-0.900000,41.670000,ZARAGOZA
0.420000,41.450000,SEROS
0.340000,41.530000,FRAGA
0.520000,40.820000,TORTOSA
-0.650000,39.150000,MASIA DE POMPO
2.050000,41.350000,SANT JOAN DESPI
12.370000,58.360000,VARGOENS KRV
