eastings,northings,site
0040000.0,544000.0,0021Z
0032000.0,545000.0,0022Z
0040000.0,545000.0,0023Z
0042700.0,545200.0,0024Z
0040100.0,550000.0,0025Z
0031000.0,552000.0,0026Z
0044000.0,552000.0,0027Z
0030400.0,553800.0,0028Z
0042536.0,522407.0,1410Z
0042455.0,522421.0,1411Z
0042536.0,522407.0,1412Z
0042455.0,522421.0,1413Z
0043903.6,524624.3,2300Z
0062358.9,533428.1,2301Z
0031045.9,513008.2,2302Z
0055734.4,533059.6,2303Z
0052438.3,531035.0,2304Z
0065603.8,531937.5,2305Z
0040716.2,515842.1,2306Z
0041553.5,520559.4,2307Z
0041746.0,521626.0,2308Z
0043322.0,522747.2,2309Z
0043903.6,524624.3,2310Z
0033550.5,512635.3,2311Z
0032628.8,513120.2,2312Z
0044446.6,525754.4,2313Z
0033550.5,512635.3,2314Z
0055734.4,533059.6,2315Z
0043903.6,524624.3,2316Z
0062358.9,533428.1,2317Z
0031045.9,513008.2,2318Z
0052438.3,531035.0,2319Z
0065603.8,531937.5,2320Z
0040716.2,515842.1,2321Z
0041553.5,520559.4,2322Z
0041746.0,521626.0,2323Z
0041746.0,521626.0,2324Z
0041746.0,521626.0,2325Z
0041746.0,521626.0,2326Z
0043322.0,522747.2,2327Z
0032628.8,513120.2,2328Z
0044446.6,525754.4,2329Z
0043903.6,524624.3,2330Z
0062358.9,533428.1,2331Z
0031045.9,513008.2,2332Z
0055734.4,533059.6,2333Z
0052438.3,531035.0,2334Z
0065603.8,531937.5,2335Z
0040716.2,515842.1,2336Z
0041553.5,520559.4,2337Z
0041746.0,521626.0,2338Z
0043322.0,522747.2,2339Z
0033550.5,512635.3,2340Z
0032628.8,513120.2,2341Z
0044446.6,525754.4,2342Z
0044446.6,525754.4,2343Z
0055734.4,533059.6,2344Z
0052438.3,531035.0,2345Z
0065603.8,531937.5,2346Z
0040716.2,515842.1,2347Z
0041553.5,520559.4,2348Z
0043903.6,524624.3,2349Z
0062358.9,533428.1,2350Z
0031045.9,513008.2,2351Z
0032628.8,513120.2,2352Z
0033550.5,512635.3,2353Z
0041746.0,521626.0,2354Z
0043322.0,522747.2,2355Z
0044446.6,525754.4,2356Z
0055734.4,533059.6,2357Z
0062358.9,533428.1,2358Z
0052438.3,531035.0,2359Z
0065603.8,531937.5,2360Z
0040716.2,515842.1,2361Z
0041553.5,520559.4,2362Z
0043322.0,522747.2,2363Z
0043903.6,524624.3,2364Z
0031045.9,513008.2,2365Z
0032628.8,513120.2,2366Z
0033550.5,512635.3,2367Z
0041746.0,521626.0,2368Z
0044446.6,525754.4,2369Z
0052003.6,532635.6,2370Z
0055734.4,533059.6,2371Z
0062358.9,533428.1,2372Z
0052438.3,531035.0,2373Z
0065603.8,531937.5,2374Z
0040716.2,515842.1,2375Z
0041553.5,520559.4,2376Z
0043322.0,522747.2,2377Z
0043903.6,524624.3,2378Z
0044404.2,530716.9,2379Z
0031045.9,513008.2,2380Z
0032628.8,513120.2,2381Z
0033550.5,512635.3,2382Z
0041746.0,521626.0,2383Z
0044446.6,525754.4,2384Z
0052003.6,532635.6,2385Z
0055734.4,533059.6,2386Z
0062358.9,533428.1,2387Z
0052438.3,531035.0,2388Z
0065603.8,531937.5,2389Z
0040716.2,515842.1,2390Z
0041553.5,520559.4,2391Z
0043322.0,522747.2,2392Z
0043903.6,524624.3,2393Z
0044404.2,530716.9,2394Z
0032628.8,513120.2,2395Z
0033550.5,512635.3,2396Z
0041746.0,521626.0,2397Z
0044446.6,525754.4,2398Z
0052003.6,532635.6,2399Z
0055734.4,533059.6,2400Z
0062358.9,533428.1,2401Z
0052438.3,531035.0,2402Z
0065603.8,531937.5,2403Z
0040716.2,515842.1,2404Z
0041553.5,520559.4,2405Z
0043322.0,522747.2,2406Z
0043903.6,524624.3,2407Z
0044404.2,530716.9,2408Z
0031045.9,513008.2,2409Z
0032628.8,513120.2,2410Z
0033550.5,512635.3,2411Z
0041746.0,521626.0,2412Z
0044446.6,525754.4,2413Z
0052003.6,532635.6,2414Z
0055734.4,533059.6,2415Z
0062358.9,533428.1,2416Z
0052438.3,531035.0,2417Z
0065603.8,531937.5,2418Z
0040716.2,515842.1,2419Z
0041553.5,520559.4,2420Z
0043322.0,522747.2,2421Z
0043903.6,524624.3,2422Z
0044404.2,530716.9,2423Z
0031045.9,513008.2,2424Z
0032628.8,513120.2,2425Z
0033550.5,512635.3,2426Z
0041746.0,521626.0,2427Z
