latDMS,lonDMS,siteNum,siteName,startDate,startTime,endDate,endTime,durationDays,durationHours,interval,waterLevel,timeReference,waterReference
544000.0,0040000.0,0021Z,DDH,1988/06/16,17:15:00,1988/07/27,17:00:00,00040,23.75,15,50.2,GMT,MSL
545000.0,0032000.0,0022Z,DDH,1988/06/16,09:15:00,1988/07/23,07:30:00,00036,22.25,15,38.5,GMT,MSL
545000.0,0040000.0,0023Z,DDH,1988/06/16,05:45:00,1988/07/27,03:45:00,00040,22.00,15,50.5,GMT,MSL
545200.0,0042700.0,0024Z,DDH,1988/06/16,04:00:00,1988/07/27,23:30:00,00041,19.50,15,49.1,GMT,MSL
550000.0,0040100.0,0025Z,DDH,1988/06/16,07:00:00,1988/07/23,23:45:00,00037,16.75,15,46.5,GMT,MSL
552000.0,0031000.0,0026Z,DDH,1988/06/16,12:15:00,1988/07/27,11:30:00,00040,23.25,15,32.1,GMT,MSL
552000.0,0044000.0,0027Z,DDH,1988/06/16,20:00:00,1988/07/27,20:15:00,00041,.25,15,41.5,GMT,MSL
553800.0,0030400.0,0028Z,DDH,1988/06/16,14:00:00,1988/07/22,08:45:00,00035,18.75,15,52.3,GMT,MSL
522407.0,0042536.0,1410Z,MP_151,1991/11/26,12:00:00,1991/12/31,23:00:00,00035,11.00,60,15.4,MET,MSL
522421.0,0042455.0,1411Z,MP_161,1991/11/26,12:00:00,1991/12/31,23:00:00,00035,11.00,60,14.8,MET,MSL
522407.0,0042536.0,1412Z,MP_151,1991/01/15,18:00:00,1991/02/19,08:00:00,00034,14.00,60,15.2,MET,MSL
522421.0,0042455.0,1413Z,MP_161,1991/01/15,18:00:00,1991/02/19,08:00:00,00034,14.00,60,16.0,MET,MSL
524624.3,0043903.6,2300Z,Petten,1984/07/01,00:00:00,1984/12/31,23:00:00,00183,23.00,60,NaN,MET,NAP
533428.1,0062358.9,2301Z,Huibertgat,1984/01/01,00:00:00,1984/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
513008.2,0031045.9,2302Z,Vlakte_van_de_Raan,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
533059.6,0055734.4,2303Z,Wierumergronden,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
531035.0,0052438.3,2304Z,Harlingen,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
531937.5,0065603.8,2305Z,Delfzijl,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
515842.1,0040716.2,2306Z,Hoek_van_Holland,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
520559.4,0041553.5,2307Z,Scheveningen,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
521626.0,0041746.0,2308Z,Noordwijk_meetpost,1984/01/01,00:00:00,1984/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
522747.2,0043322.0,2309Z,IJmuiden,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
524624.3,0043903.6,2310Z,Petten,1984/01/01,00:00:00,1984/06/30,23:00:00,00181,23.00,60,NaN,MET,NAP
512635.3,0033550.5,2311Z,Vlissingen,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
513120.2,0032628.8,2312Z,Westkapelle,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
525754.4,0044446.6,2313Z,Den_Helder,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
512635.3,0033550.5,2314Z,Vlissingen,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
