lonDD,latDD,siteNum,siteName,startDate,startTime,endDate,endTime,durationDays,durationHours,interval,waterLevel,timeReference,waterReference
4.0000000,54.6666667,0021Z,DDH_3,1988/06/16,17:15:00,1988/07/27,17:00:00,00040,23.75,15,50.2,GMT,MSL
3.3333333,54.8333333,0022Z,DDH_2,1988/06/16,09:15:00,1988/07/23,07:30:00,00036,22.25,15,38.5,GMT,MSL
4.0000000,54.8333333,0023Z,DDH_4,1988/06/16,05:45:00,1988/07/27,03:45:00,00040,22.00,15,50.5,GMT,MSL
4.4500000,54.8666667,0024Z,DDH_6,1988/06/16,04:00:00,1988/07/27,23:30:00,00041,19.50,15,49.1,GMT,MSL
4.0166667,55.0000000,0025Z,DDH_5,1988/06/16,07:00:00,1988/07/23,23:45:00,00037,16.75,15,46.5,GMT,MSL
3.1666667,55.3333333,0026Z,DDH_1,1988/06/16,12:15:00,1988/07/27,11:30:00,00040,23.25,15,32.1,GMT,MSL
4.6666667,55.3333333,0027Z,DDH_7,1988/06/16,20:00:00,1988/07/27,20:15:00,00041,.25,15,41.5,GMT,MSL
3.0666667,55.6333333,0028Z,DDH,1988/06/16,14:00:00,1988/07/22,08:45:00,00035,18.75,15,52.3,GMT,MSL
4.4266667,52.4019444,1410Z,MP_151,1991/11/26,12:00:00,1991/12/31,23:00:00,00035,11.00,60,15.4,MET,MSL
4.4152778,52.4058333,1411Z,MP_161,1991/11/26,12:00:00,1991/12/31,23:00:00,00035,11.00,60,14.8,MET,MSL
4.4266667,52.4019444,1412Z,MP_151,1991/01/15,18:00:00,1991/02/19,08:00:00,00034,14.00,60,15.2,MET,MSL
4.4152778,52.4058333,1413Z,MP_161,1991/01/15,18:00:00,1991/02/19,08:00:00,00034,14.00,60,16.0,MET,MSL
4.6510000,52.7734167,2300Z,Petten,1984/07/01,00:00:00,1984/12/31,23:00:00,00183,23.00,60,NaN,MET,NAP
6.3996944,53.5744722,2301Z,Huibertgat,1984/01/01,00:00:00,1984/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2302Z,Vlakte_van_de_Raan,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
5.9595556,53.5165556,2303Z,Wierumergronden,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
5.4106389,53.1763889,2304Z,Harlingen,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
6.9343889,53.3270833,2305Z,Delfzijl,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
4.1211667,51.9783611,2306Z,Hoek_van_Holland,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
4.2648611,52.0998333,2307Z,Scheveningen,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
4.2961111,52.2738889,2308Z,Noordwijk_meetpost,1984/01/01,00:00:00,1984/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2309Z,IJmuiden,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
4.6510000,52.7734167,2310Z,Petten,1984/01/01,00:00:00,1984/06/30,23:00:00,00181,23.00,60,NaN,MET,NAP
3.5973611,51.4431389,2311Z,Vlissingen,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2312Z,Westkapelle,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
4.7462778,52.9651111,2313Z,Den_Helder,1984/01/01,00:00:00,1984/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
3.5973611,51.4431389,2314Z,Vlissingen,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
5.9595556,53.5165556,2315Z,Wierumergronden,1985/01/01,00:00:00,1985/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2316Z,Petten,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
6.3996944,53.5744722,2317Z,Huibertgat,1985/01/01,00:00:00,1985/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2318Z,Vlakte_van_de_Raan,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
5.4106389,53.1763889,2319Z,Harlingen,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
6.9343889,53.3270833,2320Z,Delfzijl,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.1211667,51.9783611,2321Z,Hoek_van_Holland,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.2648611,52.0998333,2322Z,Scheveningen,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.2961111,52.2738889,2323Z,Noordwijk_meetpost,1985/01/01,00:00:00,1985/05/31,23:50:00,00150,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2324Z,Noordwijk_meetpost,1985/09/01,00:00:00,1985/09/30,23:50:00,00029,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2325Z,Noordwijk_meetpost,1985/11/01,00:00:00,1985/11/30,23:50:00,00029,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2326Z,Noordwijk_meetpost,1985/12/31,22:20:00,1985/12/31,23:50:00,00000,1.50,10,NaN,MET,NAP
4.5561111,52.4631111,2327Z,IJmuiden,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2328Z,Westkapelle,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.7462778,52.9651111,2329Z,Den_Helder,1985/01/01,00:00:00,1985/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.6510000,52.7734167,2330Z,Petten,1986/01/01,00:00:00,1986/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2331Z,Huibertgat,1986/01/01,00:00:00,1986/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2332Z,Vlakte_van_de_Raan,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
5.9595556,53.5165556,2333Z,Wierumergronden,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
5.4106389,53.1763889,2334Z,Harlingen,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
6.9343889,53.3270833,2335Z,Delfzijl,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.1211667,51.9783611,2336Z,Hoek_van_Holland,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.2648611,52.0998333,2337Z,Scheveningen,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.2961111,52.2738889,2338Z,Noordwijk_meetpost,1986/01/01,00:00:00,1986/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2339Z,IJmuiden,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
3.5973611,51.4431389,2340Z,Vlissingen,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2341Z,Westkapelle,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.7462778,52.9651111,2342Z,Den_Helder,1986/01/01,00:00:00,1986/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.7462778,52.9651111,2343Z,Den_Helder,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2344Z,Wierumergronden,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2345Z,Harlingen,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2346Z,Delfzijl,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2347Z,Hoek_van_Holland,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2348Z,Scheveningen,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2349Z,Petten,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2350Z,Huibertgat,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2351Z,Vlakte_van_de_Raan,1987/01/01,00:00:00,1987/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2352Z,Westkapelle,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2353Z,Vlissingen,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2354Z,Noordwijk_meetpost,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2355Z,IJmuiden,1987/01/01,00:00:00,1987/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.7462778,52.9651111,2356Z,Den_Helder,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2357Z,Wierumergronden,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2358Z,Huibertgat,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2359Z,Harlingen,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2360Z,Delfzijl,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2361Z,Hoek_van_Holland,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2362Z,Scheveningen,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2363Z,IJmuiden,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2364Z,Petten,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2365Z,Vlakte_van_de_Raan,1988/01/01,00:00:00,1988/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2366Z,Westkapelle,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2367Z,Vlissingen,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2368Z,Noordwijk_meetpost,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2369Z,Den_Helder,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2370Z,Terschelling_Noordzee,1989/03/01,00:00:00,1989/12/31,23:50:00,00305,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2371Z,Wierumergronden,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2372Z,Huibertgat,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2373Z,Harlingen,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2374Z,Delfzijl,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2375Z,Hoek_van_Holland,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2376Z,Scheveningen,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2377Z,IJmuiden,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2378Z,Petten,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
