latDMS,lonDMS,shortName,longName,siteCode,startDate,startTime,endDate,endTime,durationDays,durationHours,interval,waterLevel,timeReference,waterReference
51.4431389,3.5973611,Vlissingen,Vlissingen,2311Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,19.64,60,NaN,MET,NAP
51.5022778,3.1794167,Vlakte_van_de_Raan,Vlakte_van_de_Raan,2302Z,1983-12-31,23:00:00,1993-12-31,22:50:00,2938,16.49,60,NaN,MET,NAP
51.5222778,3.4413333,Westkapelle,Westkapelle,2312Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,19.64,60,NaN,MET,NAP
51.9258333,3.6697222,Lichteiland_Goeree,Lichteiland_Goeree,2457Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,20.64,60,NaN,MET,MSL
51.9783611,4.1211667,Hoek_van_Holland,Hoek_van_Holland,2306Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,19.64,60,NaN,MET,NAP
51.9986111,3.2763889,Euro_platform,Euro_platform,2458Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,20.47,60,NaN,MET,MSL
52.0998333,4.2648611,Scheveningen,Scheveningen,2307Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,19.64,60,NaN,MET,NAP
52.2738889,4.2961111,Noordwijk_meetpost,Noordwijk_meetpost,2308Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3498,23.29,10,NaN,MET,NAP
52.4019444,4.4266667,MP_151,MP_151,1410Z,1991-01-15,17:00:00,1991-12-31,22:00:00,70,1,60,15.4,MET,MSL
52.4058333,4.4152778,MP_161,MP_161,1411Z,1991-01-15,17:00:00,1991-12-31,22:00:00,70,1,60,14.8,MET,MSL
52.4631111,4.5561111,IJmuiden,IJmuiden,2309Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,18.81,60,NaN,MET,NAP
52.7734167,4.6510000,Petten,Petten,2300Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,19.47,60,NaN,MET,NAP
52.9651111,4.7462778,Den_Helder,Den_Helder,2313Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,19.64,60,NaN,MET,NAP
53.1213611,4.7345000,Texel_Noordzee,Texel_Noordzee,2379Z,1989-05-31,23:00:00,1993-12-31,22:50:00,1674,22.98,10,NaN,MET,NAP
53.1763889,5.4106389,Harlingen,Harlingen,2304Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,19.64,60,NaN,MET,NAP
53.2177778,3.2202778,K13a_platform,K13a_platform,2459Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3287,20.81,60,NaN,MET,MSL
53.3270833,6.9343889,Delfzijl,Delfzijl,2305Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,19.64,60,NaN,MET,NAP
53.4432222,5.3343333,Terschelling_Noordzee,Terschelling_Noordzee,2370Z,1989-02-28,23:00:00,1993-12-31,22:50:00,1766,22.98,10,NaN,MET,NAP
53.5165556,5.9595556,Wierumergronden,Wierumergronden,2303Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,20.47,60,NaN,MET,NAP
53.5744722,6.3996944,Huibertgat,Huibertgat,2301Z,1983-12-31,23:00:00,1993-12-31,22:50:00,3652,22.13,10,NaN,MET,NAP
54.6666667,4.0000000,DDH_3,DDH_3,0021Z,1988-06-16,17:15:00,1988-07-27,17:00:00,40,23.75,15,50.2,GMT,MSL
54.8333333,3.3333333,DDH_2,DDH_2,0022Z,1988-06-16,09:15:00,1988-07-23,07:30:00,36,22.25,15,38.5,GMT,MSL
54.8333333,4.0000000,DDH_4,DDH_4,0023Z,1988-06-16,05:45:00,1988-07-27,03:45:00,40,22,15,50.5,GMT,MSL
54.8666667,4.4500000,DDH_6,DDH_6,0024Z,1988-06-16,04:00:00,1988-07-27,23:30:00,41,19.5,15,49.1,GMT,MSL
55.0000000,4.0166667,DDH_5,DDH_5,0025Z,1988-06-16,07:00:00,1988-07-23,23:45:00,37,16.75,15,46.5,GMT,MSL
55.3333333,3.1666667,DDH_1,DDH_1,0026Z,1988-06-16,12:15:00,1988-07-27,11:30:00,40,23.25,15,32.1,GMT,MSL
55.3333333,4.6666667,DDH_7,DDH_7,0027Z,1988-06-16,20:00:00,1988-07-27,20:15:00,41,0.25,15,41.5,GMT,MSL
55.6333333,3.0666667,DDH,DDH,0028Z,1988-06-16,14:00:00,1988-07-22,08:45:00,35,18.75,15,52.3,GMT,MSL
