latDD,lonDD,seriesName
53.4417,-5.36667,b0033693,33693
51.0483,-6.94333,b0033700,33700
47.75,-7.2,b0033712,33712
53.5,-3.21667,b0033724,33724
54.325,1.24167,b0033736,33736
52.4517,3.24167,b0033748,33748
52.4667,2.21667,b0033761,33761
59.2967,-0.05,b0033773,33773
59.7817,-0.00833333,b0033785,33785
49.0267,-10.9717,b0033797,33797
50.82,-10.9167,b0033804,33804
58.6167,-2.43833,b0033816,33816
58.9333,-1.25,b0033828,33828
59.32,0.251667,b0033841,33841
59.325,2.77833,b0033853,33853
53.7667,-3.71667,b0033865,33865
53.77,-4.135,b0033877,33877
54.1533,-3.07,b0033889,33889
54.6483,-3.91,b0033890,33890
52.0683,-5.78333,b0033908,33908
53.5133,-3.19833,b0033921,33921
50.2517,-3.56333,b0033933,33933
53.7633,-4.11667,b0033945,33945
51.75,-6.6,b0033957,33957
51.3333,-6.5,b0033969,33969
50.5833,-6.16667,b0033970,33970
50.55,-7.53333,b0033982,33982
56.5,-5.61667,b0033994,33994
55.86,-5.74167,b0034008,34008
54.9617,-5.595,b0034021,34021
55.4633,-6.16333,b0034033,34033
55.0033,-9.99167,b0034045,34045
55.2433,-10.7167,b0034057,34057
55.0833,7.16667,b0034069,34069
55,7.83333,b0034070,34070
51.41,-5.01,b0034082,34082
50.9183,-4.99833,b0034094,34094
57.2333,-10.0667,b0034101,34101
51.3383,-3.10333,b0034113,34113
51.4067,-3.16167,b0034125,34125
51.355,-8.51667,b0034137,34137
50.5283,-7.61167,b0034149,34149
53.24,2.1,b0034174,34174
54.01,0.84,b0034186,34186
54.8,0.25,b0034198,34198
55.5833,0.76,b0034205,34205
55.3267,-0.545,b0034217,34217
56.2667,-1.2,b0034229,34229
49.66,-8.52833,b0034230,34230
50.5167,-9.81667,b0034242,34242
48.795,-7.02333,b0034254,34254
51.14,-9.79667,b0034266,34266
56.5667,-5.31167,b0034322,34322
56.5667,-5.295,b0034334,34334
56.9183,-8.58667,b0037725,37725
58.0333,-8.58333,b0037737,37737
58.7833,-7.5,b0037749,37749
58.7833,-7.5,b0037750,37750
59.4917,-6.35667,b0037762,37762
59.7633,-4.64833,b0037774,37774
59.9983,-2.96167,b0037786,37786
56.0067,-8.585,b0037798,37798
47.6683,-7.24667,b0040862,40862
47.6683,-7.24667,b0040874,40874
48.165,-8.335,b0040886,40886
48.165,-8.335,b0040898,40898
48.6133,-9.68167,b0040905,40905
48.6133,-9.68167,b0040917,40917
49.0267,-10.9717,b0040929,40929
49.9,-10.8983,b0040942,40942
49.9,-10.8983,b0040954,40954
50.82,-10.9167,b0040966,40966
50.82,-10.9167,b0040978,40978
50.82,-10.9167,b0040991,40991
50.82,-10.9167,b0041005,41005
53.6083,-11.3033,b0041029,41029
53.6083,-11.3033,b0041030,41030
47.4433,-8.43333,b0041066,41066
47.4433,-8.43333,b0041078,41078
59.3333,4.51667,b0041183,41183
59.3333,4.51667,b0041275,41275
55.6717,-10.8183,b0041287,41287
55.6717,-10.8183,b0041299,41299
55.6717,-10.8183,b0041306,41306
59.7817,-0.00833333,b0041380,41380
62.9517,-10.955,b0041423,41423
62.9517,-10.955,b0041435,41435
57.9117,-8.80833,b0047209,47209
58.0133,-9.15,b0047210,47210
57.3167,-9.875,b0047222,47222
57.3167,-9.875,b0047234,47234
58.1917,-9.95833,b0047246,47246
58.1917,-9.95833,b0047258,47258
58.9867,-7.39833,b0047271,47271
59.195,-7.68833,b0047283,47283
59.195,-7.68833,b0047295,47295
59.645,-6.00833,b0047302,47302
59.645,-6.00833,b0047314,47314
60.5283,-4.98,b0047326,47326
60.5283,-4.98,b0047338,47338
61.1317,-1.55167,b0047351,47351
61.4033,-2.09333,b0047363,47363
61.4033,-2.09333,b0047375,47375
61.5,0.0216667,b0047387,47387
63.1317,-0.00666667,b0047399,47399
63.1317,-0.00666667,b0047406,47406
