station,startDate,endDate
ABE,1930-01-01T00:00:00,2013-09-30T23:45:00
AVO,1961-01-01T00:00:00,2011-01-01T00:00:00
BAN,1994-01-01T00:00:00,2011-01-01T00:00:00
BAR,1991-01-01T00:00:00,2011-01-01T00:00:00
BOU,1996-01-01T00:00:00,2011-01-01T00:00:00
CRO,1973-01-01T00:00:00,2011-01-01T00:00:00
DEV,1987-01-01T00:00:00,2011-01-01T00:00:00
DOV,1924-01-01T00:00:00,2011-01-01T00:00:00
FEL,1982-01-01T00:00:00,2011-01-01T00:00:00
FIS,1963-01-01T00:00:00,2011-01-01T00:00:00
HAR,1954-01-01T00:00:00,2011-01-01T00:00:00
HEY,1964-01-01T00:00:00,2011-01-01T00:00:00
HIN,1990-01-01T00:00:00,2011-01-01T00:00:00
HOL,1964-01-01T00:00:00,2011-01-01T00:00:00
ILF,1968-01-01T00:00:00,2011-01-01T00:00:00
IMM,1953-01-01T00:00:00,2011-01-01T00:00:00
IOM,1992-01-01T00:00:00,2011-01-01T00:00:00
ISL,1979-01-01T00:00:00,2011-01-01T00:00:00
JER,1992-01-01T00:00:00,2011-01-01T00:00:00
KIN,1991-01-01T00:00:00,2011-01-01T00:00:00
LEI,1981-01-01T00:00:00,2011-01-01T00:00:00
LER,1959-01-01T00:00:00,2011-01-01T00:00:00
LIV,1991-01-01T00:00:00,2011-01-01T00:00:00
LLA,1971-01-01T00:00:00,2011-01-01T00:00:00
LOW,1964-01-01T00:00:00,2011-01-01T00:00:00
MHA,1953-01-01T00:00:00,2011-01-01T00:00:00
MIL,1978-01-01T00:00:00,2011-01-01T00:00:00
MOR,1994-01-01T00:00:00,2004-01-01T00:00:00
MUM,1988-01-01T00:00:00,2011-01-01T00:00:00
NEW,1915-01-01T00:00:00,2011-01-01T00:00:00
NHA,1982-01-01T00:00:00,2011-01-01T00:00:00
NPO,1993-01-01T00:00:00,2011-01-01T00:00:00
NSH,1946-01-01T00:00:00,2011-01-01T00:00:00
POR,1968-01-01T00:00:00,2011-01-01T00:00:00
PRU,1995-01-01T00:00:00,2011-01-01T00:00:00
PTM,1991-01-01T00:00:00,2011-01-01T00:00:00
SHE,1952-01-01T00:00:00,2011-01-01T00:00:00
STM,1976-01-01T00:00:00,2011-01-01T00:00:00
STO,1976-01-01T00:00:00,2011-01-01T00:00:00
TOB,1990-01-01T00:00:00,2011-01-01T00:00:00
ULL,1966-01-01T00:00:00,2011-01-01T00:00:00
WEY,1991-01-01T00:00:00,2011-01-01T00:00:00
WHI,1980-01-01T00:00:00,2011-01-01T00:00:00
WIC,1965-01-01T00:00:00,2011-01-01T00:00:00
WOR,1992-01-01T00:00:00,2011-01-01T00:00:00
