latdd,longdd,station,code
64.150000,-21.933333,REYKJAVIK,010001
63.833333,-22.433333,GRINDAVIK,010011
62.016667,-6.766667,TORSHAVN,015011
78.066667,14.250000,BARENTSBURG,025001
78.933333,11.933333,NY-ALESUND,025021
76.200000,62.583333,RUSSKAYA GAVAN,030001
68.966667,33.050000,MURMANSK,030018
69.650000,31.366667,LINAKHAMARI,030025
70.333333,31.100000,VARDO,040001
70.066667,29.750000,VADSO,040005
70.850000,29.100000,BERLEVAG,040011
70.983333,25.983333,HONNINGSVAG,040015
70.666667,23.666667,HAMMERFEST,040021
69.650000,18.966667,TROMSO,040031
69.316667,16.150000,ANDENES,040041
68.800000,16.550000,HARSTAD,040061
68.583333,16.550000,EVENSKJAER,040071
68.433333,17.416667,NARVIK,040081
68.216667,14.483333,KABELVAG,040091
67.283333,14.383333,BODO,040101
66.016667,12.633333,SANDNESSJOEN,040117
65.850000,13.200000,MOSJOEN,040121
65.483333,12.216667,BRONNOYSUND,040131
64.866667,11.250000,RORVIK,040136
63.433333,10.433333,TRONDHEIM,040141
63.433333,10.433333,TRONDHEIM 2,040142
63.433333,9.116667,HEIMSJO,040151
63.116667,7.733333,KRISTIANSUND N,040161
62.466667,6.150000,ALESUND,040191
61.916667,5.633333,KJOLSDAL,040201
61.933333,5.116667,MALOY,040211
60.400000,5.300000,BERGEN,040221
58.966667,5.733333,STAVANGER,040261
58.000000,7.566667,TREGDE,040301
58.983333,9.866667,HELGEROA,040310
58.966667,9.883333,NEVLUNGHAVN,040311
59.900000,10.750000,OSLO,040321
59.666667,10.616667,OSCARSBORG,040331
59.033333,10.950000,VIKER,040341
58.950000,11.183333,STROMSTAD,050001
58.366667,11.216667,SMOGEN,050011
58.366667,11.250000,BACKEVIK,050021
57.716667,11.950000,GOTEBORG - KLIPPAN,050031
57.683333,11.800000,GOTEBORG - TORSHAMNEN,050032
57.100000,12.216667,VARBERG,050041
55.516667,12.900000,KLAGSHAMN,050051
55.583333,12.933333,LIMHAMN,050061
55.416667,13.816667,YSTAD,050071
56.100000,15.583333,KUNGHOLMSFORT,050081
57.366667,17.100000,OLANDS NORRA UDDE,050091
58.750000,17.016667,NEDRE NYKOPING,050111
58.750000,17.866667,LANDSORT,050121
59.200000,17.616667,NEDRE SODERTALJE,050131
59.316667,18.083333,STOCKHOLM,050141
59.283333,19.033333,GRONSKAR,050151
60.633333,17.966667,BJORN,050161
60.666667,17.166667,NEDRE GAVLE,050171
62.333333,17.466667,DRAGHALLAN,050181
62.366667,17.533333,SPIKARNA,050183
64.000000,20.916667,RATAN,050191
64.916667,21.233333,FURUOGRUND,050201
65.666667,24.516667,KEMI,060001
65.033333,25.416667,OULUULEABORG,060011
64.666667,24.416667,RAAHEBRAHESTAD,060021
63.833333,23.033333,YKSPIHLAJA,060031
63.700000,22.700000,PIETARSAARIJAKOBSTAD,060041
63.100000,21.566667,VAASAVASA,060051
63.066667,20.800000,RONNSKAR,060061
62.333333,21.216667,KASKINENKASKO,060071
62.333333,21.200000,SALGRUND,060081
61.616667,21.450000,REPOSAARI,060091
61.600000,21.466667,MANTYLUOTO,060101
61.483333,21.333333,SAPPI,060111
61.133333,21.433333,RAUMARAUMO,060121
60.850000,21.183333,LYOKKI,060221
60.600000,21.233333,LYPYRTTI,060231
60.433333,22.100000,TURKUABO,060241
60.200000,19.300000,HELIGMAN,060251
60.033333,19.883333,KOBBAKLINTAR,060261
60.100000,20.016667,LEMSTROM,060271
60.033333,20.383333,DEGERBY,060281
59.783333,21.366667,UTO,060291
60.100000,21.666667,LOHM,060301
59.850000,23.250000,TVARMINNE,060306
59.950000,22.366667,JUNGFRUSUND,060311
59.766667,22.950000,RUSSARO,060316
59.816667,22.983333,HANKOHANGO,060331
60.100000,23.550000,SKURU,060344
60.150000,24.966667,HELSINKI,060351
60.116667,25.416667,SODERSKAR,060354
60.450000,26.950000,KOTKA,060358
60.566667,27.183333,HAMINA,060361
60.083333,26.983333,SUR SARI,080001
60.700000,28.733333,VYBORG,080002
60.350000,28.616667,PRIMORSK,080004
59.450000,24.800000,TALLINN,080011
58.383333,21.816667,VILSANDI,080021
57.050000,24.033333,DAUGAVGRIVA,080081
56.533333,20.983333,LIEPAJA,080151
55.700000,21.133333,KLAIPEDA,080161
54.700000,20.483333,PIONERSKY,080179
54.950000,20.216667,KALININGRAD,080181
54.533333,18.550000,GDYNIA,110032
54.600000,18.800000,HEL,110042
54.066667,14.000000,KOSEROW,120001
54.516667,13.650000,SASSNITZ 2,120005
54.183333,12.083333,WARNEMUNDE 2,120012
53.900000,11.466667,WISMAR 2,120022
54.566667,11.933333,GEDSER,130001
54.650000,11.350000,RODBYHAVN,130011
55.683333,12.600000,KOBENHAVN,130021
56.100000,12.466667,HORNBAEK,130031
55.333333,11.133333,KORSOR,130041
55.283333,10.833333,SLIPSHAVN,130051
54.933333,10.066667,MOMMARK,130061
