latdd,longdd,station,code
62.016667,-6.766667,TORSHAVN,015011
65.850000,13.200000,MOSJOEN,040121
65.483333,12.216667,BRONNOYSUND,040131
64.866667,11.250000,RORVIK,040136
63.433333,10.433333,TRONDHEIM,040141
63.433333,10.433333,TRONDHEIM 2,040142
63.433333,9.116667,HEIMSJO,040151
63.116667,7.733333,KRISTIANSUND N,040161
62.466667,6.150000,ALESUND,040191
61.916667,5.633333,KJOLSDAL,040201
61.933333,5.116667,MALOY,040211
60.400000,5.300000,BERGEN,040221
58.966667,5.733333,STAVANGER,040261
58.000000,7.566667,TREGDE,040301
58.983333,9.866667,HELGEROA,040310
58.966667,9.883333,NEVLUNGHAVN,040311
59.900000,10.750000,OSLO,040321
59.666667,10.616667,OSCARSBORG,040331
59.033333,10.950000,VIKER,040341
58.950000,11.183333,STROMSTAD,050001
58.366667,11.216667,SMOGEN,050011
58.366667,11.250000,BACKEVIK,050021
57.716667,11.950000,GOTEBORG - KLIPPAN,050031
57.683333,11.800000,GOTEBORG - TORSHAMNEN,050032
57.100000,12.216667,VARBERG,050041
55.516667,12.900000,KLAGSHAMN,050051
55.583333,12.933333,LIMHAMN,050061
55.416667,13.816667,YSTAD,050071
56.100000,15.583333,KUNGHOLMSFORT,050081
54.066667,14.000000,KOSEROW,120001
54.516667,13.650000,SASSNITZ 2,120005
54.183333,12.083333,WARNEMUNDE 2,120012
53.900000,11.466667,WISMAR 2,120022
54.566667,11.933333,GEDSER,130001
54.650000,11.350000,RODBYHAVN,130011
55.683333,12.600000,KOBENHAVN,130021
56.100000,12.466667,HORNBAEK,130031
55.333333,11.133333,KORSOR,130041
55.283333,10.833333,SLIPSHAVN,130051
54.933333,10.066667,MOMMARK,130061
55.000000,9.983333,FYNSHAV,130062
55.566667,9.766667,FREDERICIA,130071
56.150000,10.216667,AARHUS,130081
57.433333,10.566667,FREDERIKSHAVN,130091
57.600000,9.966667,HIRTSHALS,130101
57.116667,8.600000,HANSTHOLM,130111
55.466667,8.433333,ESBJERG,130121
54.616667,8.383333,AMRUM (WITTDUEN),140002
53.866667,8.716667,CUXHAVEN 2,140012
53.583333,6.666667,BORKUM (FISCHERBALJE),140016
51.233333,4.416667,ANTWERPEN (ANVERS),160001
51.350000,3.200000,ZEEBRUGGE,160011
51.233333,2.916667,OOSTENDE,160021
