station,startDate,endDate
fAJACC,2000-07-04T00:00:00,2007-10-15T00:00:00
fBOUCA,1999-06-03T00:00:00,2007-10-15T00:00:00
fBOULO,2000-12-14T00:00:00,2007-10-14T00:00:00
fBRESA,2007-01-08T00:00:00,2007-10-15T00:00:00
fBREST,1995-08-10T00:00:00,2007-10-14T00:00:00
fCALAI,1998-10-08T00:00:00,2007-10-14T00:00:00
fCHERB,1994-10-10T00:00:00,2007-10-15T00:00:00
fCONCA,1999-06-28T00:00:00,2007-10-14T00:00:00
fDUNKE,1996-09-26T00:00:00,2007-10-14T00:00:00
fEYRAC,1864-05-09T00:00:00,2007-10-15T00:00:00
fFOR2F,2005-10-18T00:00:00,2007-10-14T00:00:00
fGALET,2007-09-27T00:00:00,2007-10-14T00:00:00
fHAVRE,1994-12-15T00:00:00,2007-10-15T00:00:00
fLCONQ,1994-09-14T00:00:00,2007-10-14T00:00:00
fLCROU,2002-02-11T00:00:00,2007-10-15T00:00:00
fLROCH,1997-04-28T00:00:00,2007-09-03T00:00:00
fMARSE,1998-06-17T00:00:00,2007-10-15T00:00:00
fMONAC,1999-04-15T00:00:00,2007-10-15T00:00:00
fNICE1,1998-03-18T00:00:00,2007-09-25T00:00:00
fNUMBO,2005-01-27T00:00:00,2007-10-14T00:00:00
fOLONE,1999-05-10T00:00:00,2007-10-15T00:00:00
fPBLOC,2000-04-19T00:00:00,2007-10-15T00:00:00
fPITRE,2006-02-06T00:00:00,2007-10-14T00:00:00
fRSCOF,2004-06-02T00:00:00,2007-10-14T00:00:00
fSALUT,2006-11-03T00:00:00,2007-10-14T00:00:00
fSJLUZ,2004-05-04T00:00:00,2007-10-14T00:00:00
fSMALO,2003-09-30T00:00:00,2007-10-14T00:00:00
fSNAZA,2007-01-18T00:00:00,2007-10-15T00:00:00
fTOULO,1864-05-08T00:00:00,2007-10-15T00:00:00
